method,settings,test
loss,"[    0.83253651     0.             0.             0.
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.9193333387374878
loss,"[    0.83253651     0.             0.             0.
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.9180833101272583
loss,"[    0.83253651     0.             0.             0.
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.9130833148956299
loss,"[    0.83253651     0.             0.             0.
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.10766666382551193
loss,"[    0.83253651     0.             0.             0.
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.9184166789054871
activation,"[    0.             0.03348486     0.             0.
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.9207500219345093
activation,"[    0.             0.03348486     0.             0.
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.9165833592414856
activation,"[    0.             0.03348486     0.             0.
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.918916642665863
activation,"[    0.             0.03348486     0.             0.
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.9123333096504211
activation,"[    0.             0.03348486     0.             0.
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.918916642665863
input,"[    0.             0.             0.26743417     0.
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.10516666620969772
input,"[    0.             0.             0.26743417     0.
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.07524999976158142
input,"[    0.             0.             0.26743417     0.
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.909500002861023
input,"[    0.             0.             0.26743417     0.
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.9128333330154419
input,"[    0.             0.             0.26743417     0.
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.9117500185966492
gradient noise,"[    0.             0.             0.             0.28826677
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.11083333194255829
gradient noise,"[    0.             0.             0.             0.28826677
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.9135833382606506
gradient noise,"[    0.             0.             0.             0.28826677
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.9134166836738586
gradient noise,"[    0.             0.             0.             0.28826677
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.09358333051204681
gradient noise,"[    0.             0.             0.             0.28826677
     0.             0.             0.             0.
 48000.           100.             0.             0.1       ]",0.9142500162124634
weight,"[    0.             0.             0.             0.
     0.00140064     0.             0.             0.
 48000.           100.             0.             0.1       ]",0.11758333444595337
weight,"[    0.             0.             0.             0.
     0.00140064     0.             0.             0.
 48000.           100.             0.             0.1       ]",0.859666645526886
weight,"[    0.             0.             0.             0.
     0.00140064     0.             0.             0.
 48000.           100.             0.             0.1       ]",0.8570833206176758
weight,"[    0.             0.             0.             0.
     0.00140064     0.             0.             0.
 48000.           100.             0.             0.1       ]",0.08641666918992996
weight,"[    0.             0.             0.             0.
     0.00140064     0.             0.             0.
 48000.           100.             0.             0.1       ]",0.11524999886751175
gradient dropout,"[    0.             0.             0.             0.
     0.             0.05108862     0.             0.
 48000.           100.             0.             0.1       ]",0.09433333575725555
gradient dropout,"[    0.             0.             0.             0.
     0.             0.05108862     0.             0.
 48000.           100.             0.             0.1       ]",0.10566666722297668
gradient dropout,"[    0.             0.             0.             0.
     0.             0.05108862     0.             0.
 48000.           100.             0.             0.1       ]",0.11158332973718643
gradient dropout,"[    0.             0.             0.             0.
     0.             0.05108862     0.             0.
 48000.           100.             0.             0.1       ]",0.10499999672174454
gradient dropout,"[    0.             0.             0.             0.
     0.             0.05108862     0.             0.
 48000.           100.             0.             0.1       ]",0.1197500005364418
dropout,"[    0.            0.            0.            0.            0.
     0.            0.2448559     0.        48000.          100.
     0.            0.1      ]",0.9088333249092102
dropout,"[    0.            0.            0.            0.            0.
     0.            0.2448559     0.        48000.          100.
     0.            0.1      ]",0.9039166569709778
dropout,"[    0.            0.            0.            0.            0.
     0.            0.2448559     0.        48000.          100.
     0.            0.1      ]",0.10733333230018616
dropout,"[    0.            0.            0.            0.            0.
     0.            0.2448559     0.        48000.          100.
     0.            0.1      ]",0.9046666622161865
dropout,"[    0.            0.            0.            0.            0.
     0.            0.2448559     0.        48000.          100.
     0.            0.1      ]",0.9070000052452087
dropconnect,"[    0.             0.             0.             0.
     0.             0.             0.             0.02848831
 48000.           100.             0.             0.1       ]",0.10983332991600037
dropconnect,"[    0.             0.             0.             0.
     0.             0.             0.             0.02848831
 48000.           100.             0.             0.1       ]",0.9085833430290222
dropconnect,"[    0.             0.             0.             0.
     0.             0.             0.             0.02848831
 48000.           100.             0.             0.1       ]",0.9070000052452087
dropconnect,"[    0.             0.             0.             0.
     0.             0.             0.             0.02848831
 48000.           100.             0.             0.1       ]",0.9087499976158142
dropconnect,"[    0.             0.             0.             0.
     0.             0.             0.             0.02848831
 48000.           100.             0.             0.1       ]",0.11366666853427887
batch,"[    0.            0.            0.            0.            0.
     0.            0.            0.        12548.2008585   100.
     0.            0.1      ]",0.9557499885559082
batch,"[    0.            0.            0.            0.            0.
     0.            0.            0.        12548.2008585   100.
     0.            0.1      ]",0.9588333368301392
batch,"[    0.            0.            0.            0.            0.
     0.            0.            0.        12548.2008585   100.
     0.            0.1      ]",0.9578333497047424
batch,"[    0.            0.            0.            0.            0.
     0.            0.            0.        12548.2008585   100.
     0.            0.1      ]",0.9574999809265137
batch,"[    0.            0.            0.            0.            0.
     0.            0.            0.        12548.2008585   100.
     0.            0.1      ]",0.9589166641235352
increase batch,"[    0.             0.             0.             0.
     0.             0.             0.             0.
 48000.            74.51369103     0.             0.1       ]",0.08116666972637177
increase batch,"[    0.             0.             0.             0.
     0.             0.             0.             0.
 48000.            74.51369103     0.             0.1       ]",0.9178333282470703
increase batch,"[    0.             0.             0.             0.
     0.             0.             0.             0.
 48000.            74.51369103     0.             0.1       ]",0.9185000061988831
increase batch,"[    0.             0.             0.             0.
     0.             0.             0.             0.
 48000.            74.51369103     0.             0.1       ]",0.9149166941642761
increase batch,"[    0.             0.             0.             0.
     0.             0.             0.             0.
 48000.            74.51369103     0.             0.1       ]",0.9159166812896729
drnn,"[    0.             0.             0.             0.
     0.             0.             0.             0.
 48000.           100.             0.27201774     0.1       ]",0.09691666811704636
drnn,"[    0.             0.             0.             0.
     0.             0.             0.             0.
 48000.           100.             0.27201774     0.1       ]",0.9035833477973938
drnn,"[    0.             0.             0.             0.
     0.             0.             0.             0.
 48000.           100.             0.27201774     0.1       ]",0.11124999821186066
drnn,"[    0.             0.             0.             0.
     0.             0.             0.             0.
 48000.           100.             0.27201774     0.1       ]",0.06608333438634872
drnn,"[    0.             0.             0.             0.
     0.             0.             0.             0.
 48000.           100.             0.27201774     0.1       ]",0.07583333551883698
init,"[    0.             0.             0.             0.
     0.             0.             0.             0.
 48000.           100.             0.             0.10118979]",0.11774999648332596
init,"[    0.             0.             0.             0.
     0.             0.             0.             0.
 48000.           100.             0.             0.10118979]",0.11124999821186066
init,"[    0.             0.             0.             0.
     0.             0.             0.             0.
 48000.           100.             0.             0.10118979]",0.9179999828338623
init,"[    0.             0.             0.             0.
     0.             0.             0.             0.
 48000.           100.             0.             0.10118979]",0.9125833511352539
init,"[    0.             0.             0.             0.
     0.             0.             0.             0.
 48000.           100.             0.             0.10118979]",0.07533333450555801
Optimized,"[   0.            0.            0.16627322    0.49793238    0.
    0.            0.06108784    0.         1024.           13.59372377
    0.            0.11278262]",0.9773333072662354
Optimized,"[   0.            0.            0.16627322    0.49793238    0.
    0.            0.06108784    0.         1024.           13.59372377
    0.            0.11278262]",0.9782500267028809
Optimized,"[   0.            0.            0.16627322    0.49793238    0.
    0.            0.06108784    0.         1024.           13.59372377
    0.            0.11278262]",0.9763333201408386
Optimized,"[   0.            0.            0.16627322    0.49793238    0.
    0.            0.06108784    0.         1024.           13.59372377
    0.            0.11278262]",0.9778333306312561
Optimized,"[   0.            0.            0.16627322    0.49793238    0.
    0.            0.06108784    0.         1024.           13.59372377
    0.            0.11278262]",0.9788333177566528
Optimized,"[   0.0510779     0.1           0.33936036    0.            0.
    0.            0.            0.         1024.            1.
    0.            0.11675152]",0.9775000214576721
Optimized,"[   0.0510779     0.1           0.33936036    0.            0.
    0.            0.            0.         1024.            1.
    0.            0.11675152]",0.9772499799728394
Optimized,"[   0.0510779     0.1           0.33936036    0.            0.
    0.            0.            0.         1024.            1.
    0.            0.11675152]",0.9772499799728394
Optimized,"[   0.0510779     0.1           0.33936036    0.            0.
    0.            0.            0.         1024.            1.
    0.            0.11675152]",0.9764999747276306
Optimized,"[   0.0510779     0.1           0.33936036    0.            0.
    0.            0.            0.         1024.            1.
    0.            0.11675152]",0.9754166603088379
Optimized,"[   0.05116351    0.0972638     0.            0.51061818    0.
    0.            0.            0.         1024.          100.
    0.07206325    0.08109567]",0.968666672706604
Optimized,"[   0.05116351    0.0972638     0.            0.51061818    0.
    0.            0.            0.         1024.          100.
    0.07206325    0.08109567]",0.9668333530426025
Optimized,"[   0.05116351    0.0972638     0.            0.51061818    0.
    0.            0.            0.         1024.          100.
    0.07206325    0.08109567]",0.9675833582878113
Optimized,"[   0.05116351    0.0972638     0.            0.51061818    0.
    0.            0.            0.         1024.          100.
    0.07206325    0.08109567]",0.968583345413208
Optimized,"[   0.05116351    0.0972638     0.            0.51061818    0.
    0.            0.            0.         1024.          100.
    0.07206325    0.08109567]",0.9677500128746033
Optimized,"[   0.            0.            0.31852232    0.30136741    0.
    0.10138821    0.            0.         1024.           34.81926879
    0.            0.13998434]",0.9760000109672546
Optimized,"[   0.            0.            0.31852232    0.30136741    0.
    0.10138821    0.            0.         1024.           34.81926879
    0.            0.13998434]",0.9772499799728394
Optimized,"[   0.            0.            0.31852232    0.30136741    0.
    0.10138821    0.            0.         1024.           34.81926879
    0.            0.13998434]",0.9759166836738586
Optimized,"[   0.            0.            0.31852232    0.30136741    0.
    0.10138821    0.            0.         1024.           34.81926879
    0.            0.13998434]",0.9764999747276306
Optimized,"[   0.            0.            0.31852232    0.30136741    0.
    0.10138821    0.            0.         1024.           34.81926879
    0.            0.13998434]",0.9774166941642761
Optimized,"[   0.06471535    0.0206866     0.            0.            0.
    0.            0.04889913    0.         1024.           10.8410694
    0.02996334    0.05719999]",0.9735000133514404
Optimized,"[   0.06471535    0.0206866     0.            0.            0.
    0.            0.04889913    0.         1024.           10.8410694
    0.02996334    0.05719999]",0.9724166393280029
Optimized,"[   0.06471535    0.0206866     0.            0.            0.
    0.            0.04889913    0.         1024.           10.8410694
    0.02996334    0.05719999]",0.9700000286102295
Optimized,"[   0.06471535    0.0206866     0.            0.            0.
    0.            0.04889913    0.         1024.           10.8410694
    0.02996334    0.05719999]",0.9729166626930237
Optimized,"[   0.06471535    0.0206866     0.            0.            0.
    0.            0.04889913    0.         1024.           10.8410694
    0.02996334    0.05719999]",0.9728333353996277
